County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
WAKE,11/8/22,5-Aug,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Jane Harrison (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,5-Aug,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,John Odom, ,2,64,0,0,0,64,Y
WAKE,11/8/22,5-Aug,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Rob Baumgart (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,6-Aug,920017,C,CITY OF RALEIGH MAYOR,Donnie Harrison (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,6-Aug,920017,C,CITY OF RALEIGH MAYOR,Jamie Harper (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,6-Aug,920017,C,CITY OF RALEIGH MAYOR,Nancy Mcfarlane (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,6-Aug,920017,C,CITY OF RALEIGH MAYOR,Paul Coble (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,6-Aug,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Corey Branch (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,6-Aug,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Write-In (Miscellaneous),,2,6,0,0,0,6,Y
WAKE,11/8/22,OSWD 1-40,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Christina Jones (Write-In),,2,0,0,0,0,0,N
WAKE,11/8/22,OSWD 41-80,920017,C,CITY OF RALEIGH MAYOR,Donnie Harrison (Write-In),,1,0,0,0,0,0,N
WAKE,11/8/22,OSWD 41-80,920017,C,CITY OF RALEIGH MAYOR,Jamie Harper (Write-In),,1,0,0,0,0,0,N
WAKE,11/8/22,OSWD 41-80,920017,C,CITY OF RALEIGH MAYOR,Paul Fitts (Write-In),,1,0,0,0,0,0,N
WAKE,11/8/22,OSWD 41-80,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Write-In (Miscellaneous),,2,0,1,0,0,1,N
WAKE,11/8/22,OSWD 41-80,920023,C,CITY OF RALEIGH CITY COUNCIL DISTRICT E,David Knight, ,1,0,6,0,0,6,N
WAKE,11/8/22,OSWD 81-120,20,C,CITY OF RALEIGH CITY COUNCIL DISTRICT B,Zainab (ZB) Baloch, ,1,0,5,0,0,5,N
WAKE,11/8/22,OSWD 81-120,920017,C,CITY OF RALEIGH MAYOR,DaQuanta Copeland, ,1,0,8,0,0,8,N
