county_desc,election_date,stats_type,precinct_abbrv,vtd_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date,
MECKLENBURG,11/07/2023,voter,221,221,UNA,O,NL,F,Age 41 - 65,5,11/27/2023,
MECKLENBURG,11/07/2023,voter,215,215,UNA,W,HL,M,Age 41 - 65,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,002,002,DEM,B,UN,M,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,232,232,DEM,A,UN,M,Age Over 66,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,087,087,LIB,W,NL,F,Age 26 - 40,4,11/27/2023,
MECKLENBURG,11/07/2023,voter,241,241,DEM,O,NL,F,Age Over 66,7,11/27/2023,
MECKLENBURG,11/07/2023,voter,105,105,LIB,O,HL,F,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,151,151,LIB,B,NL,M,Age 41 - 65,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,214,214,UNA,M,HL,F,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,202,202,UNA,B,UN,M,Age 41 - 65,18,11/27/2023,
MECKLENBURG,11/07/2023,voter,128,128,DEM,W,HL,F,Age 26 - 40,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,008,008,DEM,U,UN,F,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,081,081,REP,B,NL,M,Age 41 - 65,11,11/27/2023,
MECKLENBURG,11/07/2023,voter,237,237,UNA,B,HL,F,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,096,096,DEM,O,NL,M,Age 26 - 40,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,235,235,DEM,M,NL,F,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,209,209,UNA,A,NL,M,Age 26 - 40,5,11/27/2023,
MECKLENBURG,11/07/2023,voter,138,138,UNA,O,HL,M,Age 41 - 65,10,11/27/2023,
MECKLENBURG,11/07/2023,voter,214,214,DEM,B,NL,M,Age 26 - 40,82,11/27/2023,
MECKLENBURG,11/07/2023,voter,061,061,LIB,W,UN,M,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,210,210,REP,B,NL,F,Age Over 66,8,11/27/2023,
MECKLENBURG,11/07/2023,voter,085,085,DEM,W,NL,F,Age 18 - 25,6,11/27/2023,
MECKLENBURG,11/07/2023,voter,125,125,REP,A,NL,F,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,063,063,UNA,M,HL,M,Age 18 - 25,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,081,081,DEM,I,NL,F,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,096,096,UNA,U,HL,M,Age 41 - 65,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,023,023,UNA,W,UN,M,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,049,049,UNA,A,UN,M,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,200,200,DEM,W,NL,M,Age 18 - 25,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,242,242,REP,W,UN,M,Age 18 - 25,31,11/27/2023,
MECKLENBURG,11/07/2023,voter,223.1,223.1,UNA,A,NL,M,Age Over 66,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,080,080,UNA,B,UN,U,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,067,067,UNA,W,UN,F,Age 18 - 25,7,11/27/2023,
MECKLENBURG,11/07/2023,voter,209,209,DEM,U,HL,M,Age 41 - 65,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,045,045,REP,O,HL,F,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,044,044,DEM,A,NL,F,Age 26 - 40,4,11/27/2023,
MECKLENBURG,11/07/2023,voter,074,074,UNA,O,NL,F,Age 41 - 65,4,11/27/2023,
MECKLENBURG,11/07/2023,voter,045,045,DEM,O,HL,F,Age 26 - 40,19,11/27/2023,
MECKLENBURG,11/07/2023,voter,202,202,REP,B,NL,M,Age Over 66,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,111,111,UNA,W,UN,F,Age 18 - 25,13,11/27/2023,
MECKLENBURG,11/07/2023,voter,032,032,UNA,U,UN,U,Age Over 66,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,206,206,DEM,B,UN,F,Age 18 - 25,6,11/27/2023,
MECKLENBURG,11/07/2023,voter,145,145,DEM,B,HL,F,Age 18 - 25,5,11/27/2023,
MECKLENBURG,11/07/2023,voter,049,049,DEM,B,NL,U,Age 26 - 40,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,222,222,DEM,I,NL,F,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,204.1,204.1,UNA,O,UN,M,Age 41 - 65,6,11/27/2023,
MECKLENBURG,11/07/2023,voter,135,135,REP,U,UN,U,Age 18 - 25,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,011,011,REP,A,UN,F,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,115,115,UNA,O,NL,M,Age 18 - 25,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,014,014,DEM,B,NL,F,Age 41 - 65,163,11/27/2023,
MECKLENBURG,11/07/2023,voter,202,202,DEM,A,UN,M,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,200,200,REP,U,UN,M,Age Over 66,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,066,066,DEM,U,UN,F,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,069,069,LIB,W,UN,F,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,222,222,UNA,B,UN,F,Age 18 - 25,33,11/27/2023,
MECKLENBURG,11/07/2023,voter,238.1,238.1,DEM,B,NL,U,Age 41 - 65,4,11/27/2023,
MECKLENBURG,11/07/2023,voter,146,146,UNA,A,UN,F,Age 41 - 65,4,11/27/2023,
MECKLENBURG,11/07/2023,voter,143,143,UNA,W,NL,U,Age 26 - 40,7,11/27/2023,
MECKLENBURG,11/07/2023,voter,141,141,REP,W,HL,F,Age 18 - 25,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,139.1,139.1,REP,A,UN,U,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,209,209,REP,O,HL,F,Age Over 66,4,11/27/2023,
MECKLENBURG,11/07/2023,voter,112,112,REP,W,UN,F,Age 41 - 65,14,11/27/2023,
MECKLENBURG,11/07/2023,voter,079,079,UNA,M,UN,M,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,078.1,078.1,DEM,O,UN,F,Age 26 - 40,5,11/27/2023,
MECKLENBURG,11/07/2023,voter,089,089,UNA,W,UN,M,Age 18 - 25,15,11/27/2023,
MECKLENBURG,11/07/2023,voter,053,053,UNA,W,NL,M,Age 26 - 40,28,11/27/2023,
MECKLENBURG,11/07/2023,voter,010,010,REP,U,UN,U,Age 18 - 25,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,064,064,UNA,A,UN,M,Age 18 - 25,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,078.1,078.1,UNA,U,UN,F,Age Over 66,5,11/27/2023,
MECKLENBURG,11/07/2023,voter,121,121,DEM,U,UN,F,Age 26 - 40,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,093,093,UNA,A,NL,M,Age 41 - 65,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,063,063,LIB,W,UN,F,Age 41 - 65,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,124,124,DEM,O,HL,M,Age Over 66,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,104,104,UNA,W,HL,F,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,105,105,REP,W,HL,F,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,207,207,REP,W,UN,M,Age 18 - 25,31,11/27/2023,
MECKLENBURG,11/07/2023,voter,035,035,UNA,A,NL,F,Age 26 - 40,9,11/27/2023,
MECKLENBURG,11/07/2023,voter,213,213,REP,O,UN,M,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,213,213,DEM,O,HL,U,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,135,135,DEM,M,NL,M,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,149,149,DEM,M,NL,F,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,075,075,REP,W,HL,F,Age 41 - 65,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,037,037,DEM,A,UN,F,Age 41 - 65,1,11/27/2023,
