,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
7910,MECKLENBURG,11/7/23,131,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,158,100,0,0,258,Y
7916,MECKLENBURG,11/7/23,131,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,125,57,0,0,182,Y
7918,MECKLENBURG,11/7/23,131,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,186,110,0,0,296,Y
7952,MECKLENBURG,11/7/23,132,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,176,100,0,0,276,Y
7954,MECKLENBURG,11/7/23,132,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,180,99,0,0,279,Y
7960,MECKLENBURG,11/7/23,132,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,173,94,0,0,267,Y
7966,MECKLENBURG,11/7/23,132,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,51,17,0,0,68,Y
7968,MECKLENBURG,11/7/23,132,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,177,92,0,0,269,Y
8091,MECKLENBURG,11/7/23,135,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,442,239,0,0,681,Y
8093,MECKLENBURG,11/7/23,135,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,449,241,0,0,690,Y
8099,MECKLENBURG,11/7/23,135,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,448,233,0,0,681,Y
8105,MECKLENBURG,11/7/23,135,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,73,28,0,0,101,Y
