county_desc,election_date,stats_type,precinct_abbrv,vtd_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date,
RANDOLPH,11/07/2023,voter,RN,32,DEM,B,UN,F,Age 18 - 25,7,11/27/2023,
RANDOLPH,11/07/2023,voter,AW,08,UNA,B,UN,M,Age 26 - 40,9,11/27/2023,
RANDOLPH,11/07/2023,voter,LC,22,UNA,O,UN,F,Age 41 - 65,2,11/27/2023,
RANDOLPH,11/07/2023,voter,AS,11,DEM,W,NL,M,Age 18 - 25,3,11/27/2023,
RANDOLPH,11/07/2023,voter,AS,04,REP,B,UN,M,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,PR,29,REP,W,UN,U,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,UG,15,UNA,W,NL,U,Age 41 - 65,4,11/27/2023,
RANDOLPH,11/07/2023,voter,AW,08,UNA,O,NL,M,Age Over 66,1,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,01,DEM,O,HL,F,Age 26 - 40,1,11/27/2023,
RANDOLPH,11/07/2023,voter,NM,26,DEM,B,UN,F,Age 41 - 65,2,11/27/2023,
RANDOLPH,11/07/2023,voter,GR,21,DEM,W,UN,M,Age Over 66,14,11/27/2023,
RANDOLPH,11/07/2023,voter,BC,13,DEM,U,HL,M,Age Over 66,1,11/27/2023,
RANDOLPH,11/07/2023,voter,RN,32,DEM,O,HL,F,Age 26 - 40,11,11/27/2023,
RANDOLPH,11/07/2023,voter,AE,06,REP,W,UN,F,Age Over 66,35,11/27/2023,
RANDOLPH,11/07/2023,voter,PR,29,LIB,W,UN,M,Age 26 - 40,2,11/27/2023,
RANDOLPH,11/07/2023,voter,AN,10,DEM,O,UN,M,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,LC,22,UNA,W,NL,U,Age 41 - 65,5,11/27/2023,
RANDOLPH,11/07/2023,voter,RN,32,REP,U,UN,U,Age Over 66,11,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,02,UNA,I,UN,F,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,03,DEM,U,UN,U,Age 18 - 25,7,11/27/2023,
RANDOLPH,11/07/2023,voter,AE,06,DEM,B,UN,M,Age Over 66,2,11/27/2023,
RANDOLPH,11/07/2023,voter,SO,14,UNA,O,HL,F,Age 41 - 65,2,11/27/2023,
RANDOLPH,11/07/2023,voter,NM,26,REP,I,NL,F,Age Over 66,2,11/27/2023,
RANDOLPH,11/07/2023,voter,RN,32,REP,W,NL,M,Age Over 66,165,11/27/2023,
RANDOLPH,11/07/2023,voter,UG,40,REP,W,UN,M,Age Over 66,29,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,01,DEM,W,UN,M,Age Over 66,5,11/27/2023,
RANDOLPH,11/07/2023,voter,AS,11,DEM,O,NL,F,Age Over 66,1,11/27/2023,
RANDOLPH,11/07/2023,voter,SE,17,DEM,B,UN,M,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,TR,39,DEM,A,UN,M,Age Over 66,1,11/27/2023,
RANDOLPH,11/07/2023,voter,SW,18,UNA,B,NL,M,Age 18 - 25,2,11/27/2023,
RANDOLPH,11/07/2023,voter,AW,07,REP,O,NL,M,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,01,REP,W,NL,F,Age 18 - 25,38,11/27/2023,
RANDOLPH,11/07/2023,voter,TR,28,UNA,A,NL,F,Age 26 - 40,6,11/27/2023,
RANDOLPH,11/07/2023,voter,AE,05,REP,A,UN,F,Age 26 - 40,1,11/27/2023,
