,county_desc,election_date,stats_type,precinct_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date
13645,RANDOLPH,11/07/2023,voter,RN,DEM,B,UN,F,Age 18 - 25,7,11/27/2023
13664,RANDOLPH,11/07/2023,voter,AW,UNA,B,UN,M,Age 26 - 40,9,11/27/2023
13688,RANDOLPH,11/07/2023,voter,LC,UNA,O,UN,F,Age 41 - 65,2,11/27/2023
13691,RANDOLPH,11/07/2023,voter,AS,DEM,W,NL,M,Age 18 - 25,3,11/27/2023
13740,RANDOLPH,11/07/2023,voter,AS,REP,B,UN,M,Age 41 - 65,1,11/27/2023
13809,RANDOLPH,11/07/2023,voter,,REP,W,UN,U,Age 18 - 25,1,11/27/2023
13855,RANDOLPH,11/07/2023,voter,UG,UNA,W,NL,U,Age 41 - 65,4,11/27/2023
13857,RANDOLPH,11/07/2023,voter,AW,UNA,O,NL,M,Age Over 66,1,11/27/2023
13859,RANDOLPH,11/07/2023,voter,AR,DEM,O,HL,F,Age 26 - 40,1,11/27/2023
13913,RANDOLPH,11/07/2023,voter,NM,DEM,B,UN,F,Age 41 - 65,2,11/27/2023
13935,RANDOLPH,11/07/2023,voter,GR,DEM,W,UN,M,Age Over 66,14,11/27/2023
13937,RANDOLPH,11/07/2023,voter,BC,DEM,U,HL,M,Age Over 66,1,11/27/2023
13985,RANDOLPH,11/07/2023,voter,RN,DEM,O,HL,F,Age 26 - 40,11,11/27/2023
14024,RANDOLPH,11/07/2023,voter,AE,REP,W,UN,F,Age Over 66,35,11/27/2023
14046,RANDOLPH,11/07/2023,voter,,LIB,W,UN,M,Age 26 - 40,2,11/27/2023
14122,RANDOLPH,11/07/2023,voter,AN,DEM,O,UN,M,Age 41 - 65,1,11/27/2023
14132,RANDOLPH,11/07/2023,voter,LC,UNA,W,NL,U,Age 41 - 65,5,11/27/2023
14194,RANDOLPH,11/07/2023,voter,RN,REP,U,UN,U,Age Over 66,11,11/27/2023
14210,RANDOLPH,11/07/2023,voter,AR,UNA,I,UN,F,Age 41 - 65,1,11/27/2023
14215,RANDOLPH,11/07/2023,voter,AR,DEM,U,UN,U,Age 18 - 25,7,11/27/2023
14270,RANDOLPH,11/07/2023,voter,AE,DEM,B,UN,M,Age Over 66,2,11/27/2023
14431,RANDOLPH,11/07/2023,voter,SO,UNA,O,HL,F,Age 41 - 65,2,11/27/2023
14434,RANDOLPH,11/07/2023,voter,NM,REP,I,NL,F,Age Over 66,2,11/27/2023
14477,RANDOLPH,11/07/2023,voter,RN,REP,W,NL,M,Age Over 66,165,11/27/2023
14543,RANDOLPH,11/07/2023,voter,UG,REP,W,UN,M,Age Over 66,29,11/27/2023
14570,RANDOLPH,11/07/2023,voter,AR,DEM,W,UN,M,Age Over 66,5,11/27/2023
14691,RANDOLPH,11/07/2023,voter,AS,DEM,O,NL,F,Age Over 66,1,11/27/2023
14794,RANDOLPH,11/07/2023,voter,SE,DEM,B,UN,M,Age 18 - 25,1,11/27/2023
14855,RANDOLPH,11/07/2023,voter,TR,DEM,A,UN,M,Age Over 66,1,11/27/2023
14872,RANDOLPH,11/07/2023,voter,SW,UNA,B,NL,M,Age 18 - 25,2,11/27/2023
14906,RANDOLPH,11/07/2023,voter,AW,REP,O,NL,M,Age 41 - 65,1,11/27/2023
14915,RANDOLPH,11/07/2023,voter,AR,REP,W,NL,F,Age 18 - 25,38,11/27/2023
14980,RANDOLPH,11/07/2023,voter,TR,UNA,A,NL,F,Age 26 - 40,6,11/27/2023
14992,RANDOLPH,11/07/2023,voter,AE,REP,A,UN,F,Age 26 - 40,1,11/27/2023
15163,RANDOLPH,11/07/2023,voter,AS,UNA,O,HL,F,Age 26 - 40,8,11/27/2023
15225,RANDOLPH,11/07/2023,voter,SE,REP,U,NL,M,Age 41 - 65,1,11/27/2023
15350,RANDOLPH,11/07/2023,voter,SW,UNA,W,UN,F,Age 41 - 65,11,11/27/2023
15372,RANDOLPH,11/07/2023,voter,RN,DEM,B,NL,U,Age 41 - 65,2,11/27/2023
15427,RANDOLPH,11/07/2023,voter,RM,REP,B,NL,M,Age Over 66,1,11/27/2023
15578,RANDOLPH,11/07/2023,voter,DR,UNA,W,UN,M,Age 41 - 65,38,11/27/2023
15585,RANDOLPH,11/07/2023,voter,,DEM,U,HL,M,Age 41 - 65,1,11/27/2023
15609,RANDOLPH,11/07/2023,voter,TR,UNA,W,NL,M,Age 41 - 65,97,11/27/2023
15631,RANDOLPH,11/07/2023,voter,AN,REP,W,NL,M,Age Over 66,65,11/27/2023
15911,RANDOLPH,11/07/2023,voter,SO,UNA,W,NL,F,Age 18 - 25,5,11/27/2023
15976,RANDOLPH,11/07/2023,voter,NM,UNA,O,HL,F,Age 26 - 40,3,11/27/2023
16044,RANDOLPH,11/07/2023,voter,AS,UNA,B,NL,F,Age 18 - 25,1,11/27/2023
16117,RANDOLPH,11/07/2023,voter,UG,DEM,B,UN,M,Age 26 - 40,2,11/27/2023
16152,RANDOLPH,11/07/2023,voter,TR,DEM,B,UN,F,Age 18 - 25,1,11/27/2023
16187,RANDOLPH,11/07/2023,voter,NM,LIB,W,NL,F,Age 18 - 25,1,11/27/2023
16243,RANDOLPH,11/07/2023,voter,RM,REP,A,UN,M,Age 18 - 25,2,11/27/2023
16246,RANDOLPH,11/07/2023,voter,AR,LIB,U,UN,U,Age 26 - 40,1,11/27/2023
16349,RANDOLPH,11/07/2023,voter,BC,DEM,W,NL,M,Age 41 - 65,21,11/27/2023
16398,RANDOLPH,11/07/2023,voter,DR,REP,W,NL,F,Age 26 - 40,73,11/27/2023
16509,RANDOLPH,11/07/2023,voter,RN,UNA,A,NL,F,Age 41 - 65,1,11/27/2023
16531,RANDOLPH,11/07/2023,voter,SE,UNA,W,UN,M,Age 26 - 40,4,11/27/2023
16646,RANDOLPH,11/07/2023,voter,AS,REP,U,NL,F,Age Over 66,1,11/27/2023
16711,RANDOLPH,11/07/2023,voter,AS,UNA,W,UN,F,Age 26 - 40,33,11/27/2023
16762,RANDOLPH,11/07/2023,voter,,DEM,M,UN,U,Age 26 - 40,1,11/27/2023
16806,RANDOLPH,11/07/2023,voter,RN,LIB,O,NL,F,Age 18 - 25,1,11/27/2023
17027,RANDOLPH,11/07/2023,voter,UG,REP,W,NL,M,Age 41 - 65,154,11/27/2023
17183,RANDOLPH,11/07/2023,voter,AR,UNA,W,UN,F,Age 41 - 65,36,11/27/2023
17189,RANDOLPH,11/07/2023,voter,RN,UNA,U,HL,F,Age 18 - 25,1,11/27/2023
